Tabela 2.3.8;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Percentual dos dispęndios em pesquisa e desenvolvimento (P&D)(1) dos governos estaduais em relaçăo ŕs suas receitas totais, 2000-2023;;;;;;;;;;;;;;;;;;;;;;;;
(em percentual);;;;;;;;;;;;;;;;;;;;;;;;
Regiőes e Unidades da Federaçăo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023(2)
Total;1,63;1,72;1,55;1,44;1,22;1,19;1,12;1,38;1,33;1,36;1,37;1,52;1,55;1,42;1,52;1,73;1,64;1,60;1,66;1,25;1,21;1,23;1,32;1,22
Norte;0,07;0,06;0,07;0,08;0,05;0,17;0,25;0,21;0,24;0,20;0,20;0,17;0,26;0,19;0,23;0,21;0,22;0,20;0,22;0,21;0,19;0,24;0,28;0,29
Acre;-;-;0,06;0,06;0,07;0,15;0,17;0,10;0,09;0,10;0,09;0,08;0,04;0,08;0,00;0,04;0,02;0,02;0,01;0,01;0,00;0,00;0,12;-
Amapá;0,66;0,76;0,55;0,18;0,09;0,10;0,12;0,09;0,17;0,18;0,17;0,05;0,03;0,04;0,01;0,06;0,06;0,05;0,07;0,06;0,04;0,07;0,13;0,05
Amazonas;-;-;0,01;0,13;0,13;0,56;0,86;0,60;0,64;0,49;0,47;0,49;0,48;0,45;0,54;0,64;0,57;0,45;0,62;0,53;0,48;0,53;0,62;0,66
Pará;0,08;0,04;0,08;0,10;0,002 ;0,002 ;0,03;0,10;0,28;0,14;0,17;0,14;0,43;0,20;0,25;0,15;0,20;0,20;0,16;0,20;0,18;0,30;0,31;0,34
Rondônia;-;-;-;-;-;-;-;-;0,01;0,00;0,01;0,01;0,01;0,0001;0,00;0,01;0,03;0,02;0,03;0,02;0,01;0,03;0,04;0,06
Roraima;0,05;0,02;0,01;0,02;0,01;0,03;0,04;0,17;0,02;0,24;0,08;0,01;0,05;0,07;0,28;0,22;0,27;0,39;0,35;0,25;0,18;0,19;0,25;0,35
Tocantins;-;-;0,0003;0,0001;-;0,05;0,07;0,09;0,07;0,02;0,05;0,08;0,04;0,07;0,03;0,01;0,02;0,02;0,00;0,02;0,01;0,01;0,03;0,07
Nordeste;0,30;0,44;0,37;0,44;0,37;0,41;0,36;0,48;0,40;0,36;0,34;0,42;0,42;0,36;0,52;0,49;0,54;0,56;0,50;0,51;0,44;0,47;0,53;0,59
Alagoas;0,08;0,10;0,14;0,22;0,23;0,22;0,19;0,13;0,17;0,18;0,16;0,17;0,27;0,14;0,26;0,11;0,12;0,12;0,09;0,06;0,06;0,11;0,17;0,21
Bahia;0,69;0,76;0,88;0,97;0,93;1,06;0,93;1,10;0,56;0,47;0,48;0,72;0,60;0,62;0,74;0,77;0,81;0,79;0,80;0,85;0,72;0,71;0,71;0,92
Ceará;0,07;0,16;0,10;0,17;0,12;0,20;0,17;0,57;0,60;0,42;0,41;0,38;0,61;0,40;0,75;0,48;0,49;0,58;0,63;0,63;0,47;0,62;1,04;0,68
Maranhăo;0,02;0,82;0,22;0,54;0,005 ;0,14;0,14;0,13;0,18;0,17;0,19;0,17;0,23;0,26;0,37;0,30;0,39;0,33;0,39;0,31;0,36;0,29;0,35;0,43
Paraíba;0,26;0,22;0,20;0,22;0,28;0,23;0,31;0,35;0,38;0,57;0,54;0,72;0,79;0,49;0,56;0,71;0,86;0,98;0,66;0,69;0,79;0,52;0,53;1,11
Pernambuco;0,42;0,52;0,36;0,34;0,23;0,19;0,19;0,28;0,51;0,39;0,30;0,40;0,29;0,26;0,49;0,44;0,51;0,43;0,38;0,37;0,30;0,44;0,37;0,34
Piauí;0,001;0,01;0,01;0,01;0,02;0,06;0,08;0,03;0,02;0,04;0,03;0,01;0,04;0,08;0,05;0,19;0,40;0,16;0,15;0,13;0,12;0,11;0,14;0,26
Rio Grande do Norte;0,21;0,23;0,08;0,04;0,07;0,10;0,05;0,06;0,16;0,27;0,26;0,30;0,37;0,31;0,36;0,46;0,62;0,90;0,47;0,48;0,48;0,48;0,49;0,57
Sergipe;0,00;0,01;0,02;0,07;0,11;0,04;0,01;0,03;0,06;0,23;0,22;0,10;0,11;0,10;0,07;0,10;0,01;0,14;0,14;0,18;0,12;0,14;0,03;0,19
Sudeste;2,95;3,03;2,84;2,50;2,03;1,94;1,82;2,25;2,19;2,18;2,22;2,53;2,58;2,50;2,65;3,12;3,04;2,91;3,05;2,16;2,14;2,22;2,38;2,05
Espírito Santo;-;-;0,07;0,04;0,01;0,04;0,06;0,09;0,06;0,11;0,14;0,15;0,17;0,20;0,09;0,27;0,24;0,43;0,25;0,25;0,22;0,36;0,37;0,47
Minas Gerais;0,29;0,34;0,15;0,09;0,17;0,22;0,30;0,47;0,51;0,50;0,46;0,61;0,45;0,41;0,38;0,32;0,35;0,66;0,32;0,27;0,22;0,26;0,43;0,46
Rio de Janeiro;1,58;1,08;0,83;0,71;0,61;0,59;0,63;0,90;0,90;1,09;0,96;1,04;1,10;1,02;1,20;1,42;1,53;1,19;1,11;1,17;1,21;1,21;1,55;1,50
Săo Paulo;4,54;4,90;4,58;4,25;3,43;3,24;3,00;3,57;3,41;3,21;3,36;3,94;4,13;4,11;4,33;5,06;4,89;4,64;5,14;3,54;3,47;3,71;3,71;3,07
Sul;0,54;0,72;0,58;0,59;0,75;0,79;0,74;0,87;0,77;1,07;1,02;0,97;0,98;0,77;0,85;0,90;0,91;0,87;0,87;0,79;0,92;0,70;0,80;1,01
Paraná;0,76;1,14;1,39;1,33;1,72;1,55;1,52;1,87;1,57;2,25;1,86;1,75;1,94;1,45;1,71;1,70;1,74;1,68;1,74;1,64;1,95;1,37;1,52;1,91
Rio Grande do Sul;0,61;0,65;0,11;0,11;0,25;0,30;0,17;0,18;0,12;0,21;0,27;0,28;0,23;0,22;0,24;0,21;0,21;0,16;0,12;0,09;0,10;0,08;0,11;0,16
Santa Catarina;0,04;0,13;0,26;0,37;0,17;0,54;0,59;0,70;0,83;1,21;1,59;1,32;1,17;0,86;0,81;1,02;0,80;0,83;1,00;0,90;0,90;0,88;0,84;1,05
Centro-Oeste;0,01;0,01;0,02;0,03;0,11;0,09;0,08;0,14;0,22;0,31;0,31;0,21;0,27;0,27;0,33;0,20;0,27;0,35;0,44;0,37;0,33;0,32;0,32;0,29
Distrito Federal;0,01;0,01;0,02;0,04;0,08;0,05;0,02;0,20;0,35;0,54;0,56;0,11;0,19;0,21;0,31;0,05;0,03;0,22;0,09;0,35;0,44;0,38;0,36;0,21
Goiás;-;-;-;0,002;0,05;0,02;0,01;0,07;0,18;0,23;0,17;0,28;0,35;0,24;0,17;0,19;0,40;0,41;0,75;0,44;0,35;0,30;0,20;0,28
Mato Grosso;0,04;0,04;0,001 ;0,04;0,22;0,20;0,22;0,17;0,19;0,25;0,34;0,30;0,16;0,17;0,12;0,30;0,30;0,36;0,31;0,29;0,20;0,24;0,25;0,22
Mato Grosso do Sul;-;-;0,04;0,05;0,12;0,13;0,13;0,12;0,12;0,11;0,15;0,15;0,40;0,57;1,00;0,35;0,41;0,39;0,42;0,36;0,37;0,40;0,63;0,54
"Fontes: Balanços Gerais dos Estados, levantamentos realizados pelas Secretarias Estaduais de Cięncia e Tecnologia ou instituiçőes afins e  Secretaria do Tesouro Nacional (STN) - Coordenaçăo-Geral das Relaçőes e Análise Financeira de Estados e Municípios (COREM);
número de docentes NRD3 e número de docentes permanentes da pós-graduaçăo: http://geocapes.capes.gov.br/geocapesds/;
funçőes docentes em exercício: Sinopse Estatística da Educaçăo Superior, do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP), do Ministério da Educaçăo (MEC), extraçăo especial.";;;;;;;;;;;;;;;;;;;;;;;;
Elaboraçăo: Coordenaçăo de Indicadores de Cięncia e Tecnologia (COICT) - CGDI/DGIT/SEXEC - Ministério da Cięncia, Tecnologia e Inovaçăo (MCTI);;;;;;;;;;;;;;;;;;;;;;;;
"Nota: 1) considerados os valores de empenhos liquidados dos recursos do Tesouro e de outras fontes dos orçamentos fiscal e de seguridade social, excluíndo-se, quando o balanço permite, as despesas com juros e amortizaçăo de dívidas, cumprimento de sentenças judiciais e com inativos e pensionistas; 
considerados os gastos da pós-graduaçăo como proxy dos dispęndios em P&D das instituiçőes de ensino superior (IES), sendo que:
dos recursos anuais executados pelas instituiçőes federais e estaduais com pós-graduaçăo stricto sensu reconhecida pela CAPES, subtraem-se as despesas com juros e amortizaçőes de dívidas, com o cumprimento de sentenças judiciais, com inativos e pensionistas e com a manutençăo dos hospitais universitários, para estimar a parcela direcionada ŕ pós-graduaçăo multiplicando este resultado pelo quociente número de docentes da pós-graduaçăo / número de docentes das IES do respectivo ano, ŕ exceçăo dos anos de 2004 a 2006 nas instituiçőes federais, quando foi empregado o quociente de 2003.";;;;;;;;;;;;;;;;;;;;;;;;
2) dados preliminares.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
